Rank,Team,Rating,Month,Year
1,England,135,0,1981
2,West Indies,125,0,1981
3,Australia,111,0,1981
4,India,92,0,1981
5,New Zealand,88,0,1981
6,Pakistan,73,0,1981
1,England,135,1,1981
2,West Indies,125,1,1981
3,Australia,113,1,1981
4,New Zealand,101,1,1981
5,India,76,1,1981
6,Pakistan,73,1,1981
1,West Indies,133,2,1981
2,England,129,2,1981
3,Australia,113,2,1981
4,New Zealand,102,2,1981
5,Pakistan,73,2,1981
6,India,72,2,1981
1,West Indies,133,3,1981
2,England,120,3,1981
3,Australia,119,3,1981
4,New Zealand,102,3,1981
5,India,75,3,1981
6,Pakistan,68,3,1981
1,West Indies,134,4,1981
2,England,120,4,1981
3,Australia,119,4,1981
4,New Zealand,102,4,1981
5,India,75,4,1981
6,Pakistan,65,4,1981
1,England,121,5,1981
2,West Indies,118,5,1981
3,Australia,118,5,1981
4,Pakistan,105,5,1981
5,New Zealand,102,5,1981
6,India,74,5,1981
1,West Indies,125,0,1982
2,England,113,0,1982
3,Pakistan,111,0,1982
4,Australia,111,0,1982
5,New Zealand,102,0,1982
6,India,83,0,1982
1,West Indies,131,1,1982
2,Australia,110,1,1982
3,New Zealand,108,1,1982
4,England,106,1,1982
5,Pakistan,101,1,1982
6,India,90,1,1982
1,West Indies,131,2,1982
2,Australia,113,2,1982
3,Pakistan,105,2,1982
4,England,102,2,1982
5,New Zealand,101,2,1982
6,India,90,2,1982
1,West Indies,131,3,1982
2,Australia,113,3,1982
3,England,104,3,1982
4,Pakistan,103,3,1982
5,New Zealand,101,3,1982
6,India,87,3,1982
1,West Indies,131,4,1982
2,Australia,113,4,1982
3,England,109,4,1982
4,New Zealand,101,4,1982
5,Pakistan,100,4,1982
6,India,85,4,1982
1,West Indies,133,5,1982
2,Australia,111,5,1982
3,England,105,5,1982
4,Pakistan,99,5,1982
5,New Zealand,98,5,1982
6,India,86,5,1982
1,West Indies,133,6,1982
2,Australia,111,6,1982
3,England,105,6,1982
4,Pakistan,99,6,1982
5,New Zealand,98,6,1982
6,India,93,6,1982
1,West Indies,133,7,1982
2,Pakistan,108,7,1982
3,Australia,105,7,1982
4,England,105,7,1982
5,India,99,7,1982
6,New Zealand,98,7,1982
7,Sri Lanka,68,7,1982
1,West Indies,133,8,1982
2,Pakistan,111,8,1982
3,Australia,105,8,1982
4,England,105,8,1982
5,New Zealand,98,8,1982
6,India,96,8,1982
7,Sri Lanka,68,8,1982
1,West Indies,133,0,1983
2,Pakistan,109,0,1983
3,Australia,107,0,1983
4,England,105,0,1983
5,India,98,0,1983
6,New Zealand,93,0,1983
7,Sri Lanka,68,0,1983
1,West Indies,133,1,1983
2,Pakistan,111,1,1983
3,New Zealand,110,1,1983
4,Australia,101,1,1983
5,England,99,1,1983
6,India,95,1,1983
7,Sri Lanka,68,1,1983
1,West Indies,133,2,1983
2,Pakistan,111,2,1983
3,New Zealand,108,2,1983
4,Australia,107,2,1983
5,India,95,2,1983
6,England,92,2,1983
7,Sri Lanka,67,2,1983
1,West Indies,129,3,1983
2,Pakistan,111,3,1983
3,New Zealand,110,3,1983
4,Australia,105,3,1983
5,India,99,3,1983
6,England,92,3,1983
7,Sri Lanka,64,3,1983
1,West Indies,129,4,1983
2,Pakistan,111,4,1983
3,New Zealand,108,4,1983
4,Australia,100,4,1983
5,India,99,4,1983
6,England,95,4,1983
7,Sri Lanka,80,4,1983
1,West Indies,122,5,1983
2,India,114,5,1983
3,New Zealand,109,5,1983
4,Pakistan,108,5,1983
5,England,98,5,1983
6,Australia,94,5,1983
7,Sri Lanka,77,5,1983
1,West Indies,122,6,1983
2,India,117,6,1983
3,New Zealand,109,6,1983
